pass,position,item_id
A_modal,1,C017
A_modal,2,D028
A_modal,3,F003
A_modal,4,C031
A_modal,5,D010
A_modal,6,D034
A_modal,7,D021
A_modal,8,D020
A_modal,9,F017
A_modal,10,C004
A_modal,11,C023
A_modal,12,D032
A_modal,13,C016
A_modal,14,C038
A_modal,15,F024
A_modal,16,F010
A_modal,17,D030
A_modal,18,D019
A_modal,19,F016
A_modal,20,F007
A_modal,21,C001
A_modal,22,D008
A_modal,23,C003
A_modal,24,F004
A_modal,25,F022
A_modal,26,C006
A_modal,27,D018
A_modal,28,D014
A_modal,29,D024
A_modal,30,C022
A_modal,31,C040
A_modal,32,D007
A_modal,33,D022
A_modal,34,F014
A_modal,35,F018
A_modal,36,F015
A_modal,37,C015
A_modal,38,D002
A_modal,39,C012
A_modal,40,D005
A_modal,41,F009
A_modal,42,D017
A_modal,43,F002
A_modal,44,D026
A_modal,45,F019
A_modal,46,F025
A_modal,47,F006
A_modal,48,F020
A_modal,49,F005
A_modal,50,D013
A_modal,51,C029
A_modal,52,C013
A_modal,53,F023
A_modal,54,C035
A_modal,55,C025
A_modal,56,F021
A_modal,57,D023
A_modal,58,C039
A_modal,59,C036
A_modal,60,C034
A_modal,61,C037
A_modal,62,C019
A_modal,63,C002
A_modal,64,D025
A_modal,65,C033
A_modal,66,D012
A_modal,67,D009
A_modal,68,D003
A_modal,69,D033
A_modal,70,D006
A_modal,71,C028
A_modal,72,C027
A_modal,73,C008
A_modal,74,D035
A_modal,75,D001
A_modal,76,C030
A_modal,77,C010
A_modal,78,D016
A_modal,79,C009
A_modal,80,C018
A_modal,81,F008
A_modal,82,D011
A_modal,83,C026
A_modal,84,C011
A_modal,85,F013
A_modal,86,D029
A_modal,87,F011
A_modal,88,C020
A_modal,89,C014
A_modal,90,F001
A_modal,91,C021
A_modal,92,C024
A_modal,93,D027
A_modal,94,D004
A_modal,95,D031
A_modal,96,C005
A_modal,97,C032
A_modal,98,C007
A_modal,99,D015
A_modal,100,F012
B_natural,1,F016
B_natural,2,C019
B_natural,3,D002
B_natural,4,C022
B_natural,5,F011
B_natural,6,D027
B_natural,7,D028
B_natural,8,C038
B_natural,9,C004
B_natural,10,C020
B_natural,11,F023
B_natural,12,C008
B_natural,13,D016
B_natural,14,C018
B_natural,15,D021
B_natural,16,C010
B_natural,17,F024
B_natural,18,C028
